id,kanji,kana,vietnamese,hanViet,level,pos,tags,exampleSentence,exampleTranslation
"n5_0001","私","わたし","Tôi","Tư","N5","N","","わたしは今、会議室にいます。","Tôi bây giờ đang ở phòng họp."
"n5_0002","私達","わたしたち","Chúng tôi","Tư đạt","N5","N","","私はわたしたちに日本語を教えます。","Tôi dạy tiếng Nhật cho Chúng tôi."
"n5_0003","貴方","あなた","Bạn","Quý phương","N5","N","","あの人はあなたじゃありません。","Người kia không phải là Bạn."
"n5_0004","先生","せんせい","Cô, thầy giáo","Tiên sinh","N5","N","","私はせんせいに日本語を教えます。","Tôi dạy tiếng Nhật cho Bác sĩ, giáo viên."
"n5_0005","教師","きょうし","Giáo viên","Giáo sư","N5","N","","昨日、きょうしと一緒に食事しました。","Hôm qua tôi đã đi ăn cùng Giáo viên."
"n5_0006","実習生","じっしゅうせい","Thực tập sinh","Thực tập sinh","N5","N","","昨日、じっしゅうせいと一緒に食事しました。","Hôm qua tôi đã đi ăn cùng Thực tập sinh."
"n5_0007","研究者","けんきゅうしゃ","Nhà nghiên cứu","Nghiên cứu giả","N5","N","","この時計はけんきゅうしゃにもらいました。","Tôi đã nhận cái đồng hồ này từ Nhà nghiên cứu."
"n5_0008","技術者","ぎじゅつしゃ","Kỹ thuật viên","Kỹ thuật giả","N5","N","","ハサミでぎじゅつしゃを切ります。","Tôi cắt kỹ thuật viên bằng kéo."
"n5_0009","留学生","りゅうがくせい","Du học sinh","Lưu học sinh","N5","N","","この時計はりゅうがくせいにもらいました。","Tôi đã nhận cái đồng hồ này từ Du học sinh."
"n5_0010","学生","がくせい","Học sinh","Học sinh","N5","N","","がくせいが来たら、教えてください。","Nếu Học sinh đến, hãy cho tôi biết."
"n5_0011","会社員/社員","かいしゃいん","Nhân viên công ty","Hội xã viên","N5","N","","かいしゃいんが来たら、教えてください。","Nếu Nhân viên công ty đến, hãy cho tôi biết."
"n5_0012","銀行員","ぎんこういん","Nhân viên ngân hàng","Ngân hàng viên","N5","N","","あの方はぎんこういんです。","Vị kia là Nhân viên ngân hàng."
